Feature,Standardized_Beta,Odds_Ratio,Absolute_Importance
bvp_light_absorption_nW_sample_entropy,1.1563482181578997,3.178305579528354,1.1563482181578997
accelerometer_magnitude_peak_to_rms,-1.0618780854208405,0.3458057473516877,1.0618780854208405
bvp_light_absorption_nW_std_dev,-0.9894011353954725,0.3717992817943812,0.9894011353954725
temperature_celcius_peak_to_peak,-0.8361096278862723,0.43339330921967517,0.8361096278862723
eda_microsiemens_peak_to_rms,0.725342245695073,2.065437866233891,0.725342245695073
accelerometer_magnitude_peak_to_peak,0.7219858197488275,2.0585169981771703,0.7219858197488275
rr_interval_milliseconds_num_peaks,-0.6988594208963959,0.49715202174396017,0.6988594208963959
rr_interval_milliseconds_mean_derivative,-0.6663796506570432,0.5135644991145789,0.6663796506570432
eda_microsiemens_rms,-0.6305056189239682,0.5323225805807644,0.6305056189239682
rr_interval_milliseconds_rms,-0.6195834240418807,0.5381685789968987,0.6195834240418807
eda_microsiemens_mean,-0.5977128442644701,0.5500682903093875,0.5977128442644701
eda_microsiemens_num_peaks,0.588952454649866,1.802099645180561,0.588952454649866
rr_interval_milliseconds_mean,-0.5845782382579617,0.5573408773077402,0.5845782382579617
bvp_light_absorption_nW_peak_to_peak,-0.563926264418441,0.5689707430210578,0.563926264418441
bvp_light_absorption_nW_peak_to_rms,-0.5394103477465185,0.5830919725219352,0.5394103477465185
accelerometer_magnitude_mean_derivative,0.5368991134854962,1.7106939612557168,0.5368991134854962
eda_microsiemens_peak_to_peak,0.5358564885658387,1.7089112785979765,0.5358564885658387
eda_microsiemens_std_dev,0.5110358712913288,1.6670171160481635,0.5110358712913288
temperature_celcius_std_dev,-0.5053128242966458,0.6033168137460452,0.5053128242966458
temperature_celcius_mean,0.4729604460815386,1.6047379080485593,0.4729604460815386
temperature_celcius_rms,0.4728924386897271,1.6046287777197683,0.4728924386897271
temperature_celcius_mean_derivative,-0.4442773993320394,0.6412875034262809,0.4442773993320394
accelerometer_magnitude_rms,-0.4315725304961153,0.6494869532188411,0.4315725304961153
accelerometer_magnitude_mean,-0.4257843818888014,0.6532571810159192,0.4257843818888014
bvp_light_absorption_nW_mean_derivative,-0.4196570450261987,0.6572721959346542,0.4196570450261987
accelerometer_magnitude_std_dev,-0.4096128356127507,0.6639072416245271,0.4096128356127507
eda_microsiemens_mean_derivative,-0.34923130754243403,0.7052299863874745,0.34923130754243403
bvp_light_absorption_nW_mean,0.3183500440465979,1.37485743766715,0.3183500440465979
bvp_light_absorption_nW_rms,0.29389733718716443,1.3416461594279299,0.29389733718716443
rr_interval_milliseconds_peak_to_peak,0.20463229383358822,1.2270737794026922,0.20463229383358822
eda_microsiemens_sample_entropy,0.1971719986516406,1.2179535090525733,0.1971719986516406
rr_interval_milliseconds_sample_entropy,0.19663834832791993,1.2173037211633702,0.19663834832791993
temperature_celcius_num_peaks,0.1559083099416192,1.1687190382601207,0.1559083099416192
accelerometer_magnitude_sample_entropy,-0.14415837374488255,0.8657506250325272,0.14415837374488255
rr_interval_milliseconds_peak_to_rms,0.12453124372828421,1.1326174070979544,0.12453124372828421
bvp_light_absorption_nW_num_peaks,0.07918138715109367,1.0824006378332365,0.07918138715109367
temperature_celcius_peak_to_rms,0.050103067615927005,1.0513794539656038,0.050103067615927005
accelerometer_magnitude_num_peaks,0.0492543279812924,1.0504874851301793,0.0492543279812924
rr_interval_milliseconds_std_dev,0.028292732447653856,1.0286967732743708,0.028292732447653856
temperature_celcius_sample_entropy,-0.010598880902641907,0.9894570893204472,0.010598880902641907
